                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0546,                 0.5968,                 0.9071,                0.79398,                0.61293,                0.69156,                0.40518,                 1.1793,                0.66142,                0.93382,              0.0097696,              0.0097696,              0.0097696
                     37,                 1.0515,                 0.5932,                0.90949,                0.73096,                0.64028,                0.68233,                0.40064,                 1.1861,                0.66503,                0.93802,              0.0097627,              0.0097627,              0.0097627
                     38,                 1.0549,                 0.5934,                0.90922,                0.81568,                0.61952,                0.68807,                 0.4042,                 1.1763,                0.65588,                0.93145,              0.0097551,              0.0097551,              0.0097551
                     39,                 1.0421,                0.59009,                0.90759,                0.80257,                0.63298,                0.69285,                0.41102,                  1.179,                0.65635,                0.93148,              0.0097477,              0.0097477,              0.0097477
                     40,                 1.0463,                0.58584,                0.90688,                0.78508,                0.64405,                0.70069,                 0.4122,                  1.184,                0.66105,                0.93269,              0.0097409,              0.0097409,              0.0097409
                     41,                 1.0426,                0.58915,                0.90509,                0.77352,                0.63043,                0.68791,                0.40915,                 1.1759,                0.67246,                0.93288,               0.009734,               0.009734,               0.009734
                     42,                 1.0321,                0.58315,                0.90514,                0.75707,                0.61787,                0.68083,                0.40237,                 1.1772,                0.66518,                0.92832,              0.0097272,              0.0097272,              0.0097272
                     43,                 1.0417,                0.58298,                0.90512,                0.79417,                0.60923,                0.68046,                0.39776,                 1.1926,                0.66784,                0.93882,              0.0097206,              0.0097206,              0.0097206
                     44,                 1.0317,                0.57648,                0.90285,                0.80222,                0.61297,                0.68609,                0.41437,                 1.1783,                0.66237,                0.93694,              0.0097137,              0.0097137,              0.0097137
                     45,                 1.0312,                0.57825,                0.90424,                0.74923,                 0.6341,                0.68307,                0.40474,                 1.1905,                   0.66,                0.94053,              0.0097071,              0.0097071,              0.0097071
                     46,                 1.0255,                0.57572,                0.90275,                0.77426,                0.65441,                0.69542,                0.41784,                 1.1779,                0.65819,                0.94054,              0.0097004,              0.0097004,              0.0097004
                     47,                 1.0271,                0.57562,                0.90277,                0.73438,                0.66248,                0.69276,                0.41423,                 1.1773,                0.66125,                0.93396,              0.0096937,              0.0096937,              0.0096937
                     48,                 1.0247,                0.57131,                0.90282,                 0.8056,                 0.6341,                 0.6958,                0.41259,                 1.1673,                0.65454,                0.93148,              0.0096871,              0.0096871,              0.0096871
                     49,                 1.0194,                0.57408,                0.89972,                0.81729,                0.62899,                0.69494,                0.41066,                 1.1875,                 0.6634,                0.94012,              0.0096804,              0.0096804,              0.0096804
                     50,                 1.0215,                0.57042,                0.90054,                0.81922,                0.62813,                0.69918,                0.41146,                 1.1791,                0.64128,                0.93638,               0.009674,               0.009674,               0.009674
                     51,                 1.0112,                0.56381,                0.89945,                0.82571,                0.63023,                0.69888,                  0.413,                 1.1662,                0.65311,                 0.9367,              0.0096673,              0.0096673,              0.0096673
                     52,                 1.0111,                0.56265,                0.89899,                0.80207,                0.61614,                0.69005,                0.41104,                 1.1743,                0.65116,                0.93399,              0.0096607,              0.0096607,              0.0096607
                     53,                 1.0133,                0.56406,                0.89944,                0.76835,                0.64781,                0.70006,                0.41213,                 1.1904,                0.64862,                0.93977,               0.009654,               0.009654,               0.009654
                     54,                 1.0074,                0.56202,                0.89866,                0.82762,                0.64166,                0.70054,                 0.4175,                  1.167,                0.64965,                0.93425,              0.0096474,              0.0096474,              0.0096474
                     55,                 1.0119,                 0.5617,                 0.8954,                0.79091,                0.62228,                0.69027,                0.40906,                 1.1846,                0.65316,                0.94175,              0.0096407,              0.0096407,              0.0096407
                     56,                 1.0093,                0.56199,                 0.9002,                0.78311,                0.64379,                0.69473,                0.40445,                 1.1769,                0.66743,                0.93098,              0.0096341,              0.0096341,              0.0096341
                     57,                 1.0085,                0.56033,                0.89963,                0.78136,                0.64898,                0.69817,                0.41116,                 1.1685,                0.64604,                0.93442,              0.0096274,              0.0096274,              0.0096274
                     58,                 0.9997,                0.55753,                 0.8946,                0.80151,                0.63036,                0.70081,                0.41599,                 1.1692,                0.63994,                0.93277,              0.0096205,              0.0096205,              0.0096205
                     59,                0.99561,                0.55247,                0.89233,                0.81762,                0.64183,                0.70489,                0.41577,                 1.1718,                0.63984,                0.93215,              0.0096139,              0.0096139,              0.0096139
                     60,                 1.0011,                0.55718,                0.89688,                0.80966,                0.62378,                0.70214,                0.41532,                 1.1719,                0.64281,                0.93761,              0.0096069,              0.0096069,              0.0096069
                     61,                0.99521,                0.55513,                0.89441,                0.79846,                0.62243,                0.69162,                0.41004,                 1.1694,                0.64109,                0.93237,              0.0096003,              0.0096003,              0.0096003
                     62,                  1.001,                0.55768,                0.89495,                0.79686,                0.64599,                0.70066,                0.41037,                 1.1792,                0.65592,                0.94214,              0.0095933,              0.0095933,              0.0095933
                     63,                 1.0014,                0.55595,                0.89457,                0.82695,                0.62059,                 0.7041,                0.41631,                 1.1829,                0.65084,                0.94285,              0.0095861,              0.0095861,              0.0095861
                     64,                0.98792,                0.54843,                0.89246,                0.80435,                0.65147,                0.71001,                0.42105,                 1.1692,                0.64196,                0.93683,              0.0095791,              0.0095791,              0.0095791
                     65,                0.99241,                0.55462,                0.89352,                0.79814,                 0.6394,                 0.7012,                0.41437,                 1.1851,                0.65409,                 0.9371,              0.0095725,              0.0095725,              0.0095725
                     66,                0.98186,                0.54673,                0.89221,                0.80917,                0.63593,                0.69857,                   0.41,                 1.1735,                0.64632,                0.94278,              0.0095655,              0.0095655,              0.0095655
                     67,                0.98355,                0.54711,                0.88977,                0.79498,                 0.6385,                0.69464,                0.40916,                 1.1808,                0.64571,                0.93333,              0.0095588,              0.0095588,              0.0095588
                     68,                0.98514,                0.54757,                0.89146,                0.82437,                  0.635,                0.70647,                0.41443,                 1.1756,                0.64757,                0.93777,              0.0095521,              0.0095521,              0.0095521
                     69,                0.97892,                0.54598,                 0.8911,                0.75399,                0.66394,                0.70623,                0.41971,                 1.1656,                0.64843,                0.93185,              0.0095454,              0.0095454,              0.0095454
                     70,                 0.9794,                0.54886,                0.89071,                0.76695,                0.66172,                0.70701,                0.42413,                 1.1617,                0.63545,                0.93028,              0.0095391,              0.0095391,              0.0095391
                     71,                0.97601,                0.54258,                0.88782,                0.83669,                0.62394,                0.69466,                0.41254,                 1.1816,                0.64876,                0.93579,              0.0095324,              0.0095324,              0.0095324
                     72,                0.97525,                0.54125,                0.89166,                0.80939,                0.63454,                0.69136,                0.41402,                 1.1859,                0.65103,                0.93955,              0.0095257,              0.0095257,              0.0095257
                     73,                0.97736,                 0.5443,                 0.8888,                0.76528,                 0.6601,                0.69983,                0.41655,                 1.1771,                0.64278,                0.93745,              0.0095194,              0.0095194,              0.0095194
                     74,                0.96685,                0.53771,                0.88707,                0.80641,                0.64666,                0.69416,                0.41445,                 1.1862,                0.64441,                0.93277,              0.0095127,              0.0095127,              0.0095127
                     75,                0.96949,                0.53817,                0.88843,                0.84471,                 0.6262,                0.70395,                0.41273,                 1.1678,                0.62942,                0.92739,               0.009506,               0.009506,               0.009506
                     76,                0.96619,                0.53884,                0.88764,                 0.8242,                  0.629,                0.69643,                0.41633,                 1.1623,                0.64089,                0.93246,              0.0094997,              0.0094997,              0.0094997
                     77,                0.97253,                0.53941,                0.88744,                0.80379,                0.65163,                0.69795,                0.41991,                 1.1725,                0.65174,                 0.9346,               0.009493,               0.009493,               0.009493
                     78,                0.96472,                0.53502,                0.88675,                0.80174,                0.64462,                0.71255,                0.42045,                 1.1717,                0.63675,                0.93697,              0.0094867,              0.0094867,              0.0094867
                     79,                0.97159,                0.53543,                0.88728,                0.80539,                0.63352,                0.69736,                0.41593,                 1.1745,                0.63875,                0.93757,                0.00948,                0.00948,                0.00948
                     80,                0.96836,                0.53628,                0.88635,                 0.8125,                0.65697,                0.71098,                0.41995,                 1.1746,                0.63716,                0.93517,              0.0094733,              0.0094733,              0.0094733
                     81,                0.96404,                0.53285,                0.88591,                0.78469,                0.66236,                0.71511,                0.42613,                 1.1703,                0.64047,                0.93718,              0.0094667,              0.0094667,              0.0094667
                     82,                0.95626,                0.53033,                0.88336,                0.81945,                0.64825,                0.70158,                 0.4233,                 1.1714,                0.64409,                0.93356,              0.0094604,              0.0094604,              0.0094604
                     83,                0.95802,                0.53073,                0.88447,                0.83041,                0.63117,                0.70546,                0.41904,                 1.1673,                 0.6369,                 0.9322,              0.0094537,              0.0094537,              0.0094537
                     84,                0.95897,                0.53296,                0.88717,                0.83761,                  0.617,                0.70002,                0.41473,                 1.1663,                0.63015,                  0.936,               0.009447,               0.009447,               0.009447
