                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2439,                0.78063,                0.96558,                0.62338,                 0.3753,                0.40453,                0.21892,                 1.1909,                0.70123,                0.93448,              0.0051217,              0.0051217,              0.0051217
                     36,                 1.2404,                 0.7778,                0.96487,                0.62265,                0.37618,                0.40582,                0.21969,                 1.1901,                0.70018,                0.93409,              0.0049783,              0.0049783,              0.0049783
                     37,                 1.2412,                0.77747,                0.96475,                0.62528,                0.37517,                0.40629,                 0.2202,                 1.1896,                0.69949,                0.93383,              0.0048348,              0.0048348,              0.0048348
                     38,                 1.2363,                0.77452,                0.96288,                0.62491,                0.37523,                0.40661,                0.22049,                  1.189,                0.69866,                0.93345,              0.0046913,              0.0046913,              0.0046913
                     39,                 1.2356,                0.77272,                0.96246,                0.61972,                0.37643,                0.40705,                0.22072,                 1.1884,                0.69796,                0.93304,              0.0045478,              0.0045478,              0.0045478
                     40,                 1.2337,                0.76983,                0.96186,                0.61763,                0.37907,                0.40803,                0.22131,                 1.1878,                0.69712,                0.93273,              0.0044043,              0.0044043,              0.0044043
                     41,                 1.2333,                0.76981,                0.96221,                0.62045,                0.37951,                0.40921,                0.22169,                 1.1872,                0.69627,                0.93244,              0.0042609,              0.0042609,              0.0042609
                     42,                 1.2328,                0.76898,                0.96127,                0.62451,                 0.3797,                0.40998,                0.22191,                 1.1864,                0.69552,                0.93211,              0.0041174,              0.0041174,              0.0041174
                     43,                 1.2298,                0.76623,                0.96077,                0.62677,                0.37813,                0.41045,                0.22241,                 1.1858,                0.69501,                0.93175,              0.0039739,              0.0039739,              0.0039739
                     44,                 1.2292,                0.76439,                0.96001,                0.62282,                0.37877,                0.41089,                0.22284,                  1.185,                0.69436,                0.93135,              0.0038304,              0.0038304,              0.0038304
                     45,                 1.2271,                0.76247,                 0.9591,                0.62734,                0.37638,                0.41128,                0.22306,                 1.1845,                0.69381,                0.93091,               0.003687,               0.003687,               0.003687
                     46,                  1.226,                0.76028,                0.95846,                0.62865,                0.37611,                0.41224,                0.22355,                 1.1839,                0.69322,                0.93044,              0.0035435,              0.0035435,              0.0035435
                     47,                 1.2252,                 0.7597,                0.95813,                0.62662,                0.37764,                0.41266,                0.22368,                 1.1835,                0.69272,                0.93013,                 0.0034,                 0.0034,                 0.0034
                     48,                  1.222,                0.75609,                0.95777,                0.63112,                0.37606,                0.41226,                0.22384,                 1.1829,                0.69221,                0.92985,              0.0032565,              0.0032565,              0.0032565
                     49,                 1.2211,                0.75599,                 0.9566,                0.63084,                0.37834,                0.41354,                0.22436,                 1.1823,                0.69161,                0.92952,               0.003113,               0.003113,               0.003113
                     50,                 1.2193,                0.75502,                0.95601,                0.62602,                0.37959,                0.41339,                0.22476,                 1.1816,                0.69107,                0.92911,              0.0029696,              0.0029696,              0.0029696
                     51,                 1.2184,                0.75241,                0.95512,                0.62437,                0.37963,                0.41383,                0.22495,                  1.181,                0.69059,                0.92882,              0.0028261,              0.0028261,              0.0028261
